id,family,model,dataset,depth,metric,comparison,brief,baseline,delta,n,brief_wins,note
216,F3_vs_competitor,claude,synthetic,ALL,compliance,brief_vs_raptor,0.9917,0.25,0.7417,120,1,
217,F3_vs_competitor,claude,synthetic,1,compliance,brief_vs_none,0.975,0.0,0.975,40,1,
218,F3_vs_competitor,claude,synthetic,2,compliance,brief_vs_none,1.0,0.0,1.0,40,1,
219,F3_vs_competitor,claude,synthetic,3,compliance,brief_vs_none,1.0,0.0,1.0,40,1,
220,F3_vs_competitor,claude,synthetic,ALL,compliance,brief_vs_none,0.9917,0.0,0.9917,120,1,
221,F3_vs_competitor,claude,dcbench,1,compliance,brief_vs_bm25,0.5,0.4643,0.0357,14,1,
222,F3_vs_competitor,claude,dcbench,2,compliance,brief_vs_bm25,0.2619,0.2976,-0.0357,14,0,
223,F3_vs_competitor,claude,dcbench,3,compliance,brief_vs_bm25,0.3095,0.3333,-0.0238,14,0,
224,F3_vs_competitor,claude,dcbench,ALL,compliance,brief_vs_bm25,0.3571,0.3651,-0.0079,42,0,
225,F3_vs_competitor,claude,dcbench,1,compliance,brief_vs_tfidf,0.5,0.4643,0.0357,14,1,
226,F3_vs_competitor,claude,dcbench,2,compliance,brief_vs_tfidf,0.2619,0.3929,-0.131,14,0,
227,F3_vs_competitor,claude,dcbench,3,compliance,brief_vs_tfidf,0.3095,0.4048,-0.0952,14,0,
228,F3_vs_competitor,claude,dcbench,ALL,compliance,brief_vs_tfidf,0.3571,0.4206,-0.0635,42,0,
229,F3_vs_competitor,claude,dcbench,1,compliance,brief_vs_dense,0.5,0.4643,0.0357,14,1,
230,F3_vs_competitor,claude,dcbench,2,compliance,brief_vs_dense,0.2619,0.2381,0.0238,14,1,
231,F3_vs_competitor,claude,dcbench,3,compliance,brief_vs_dense,0.3095,0.3333,-0.0238,14,0,
232,F3_vs_competitor,claude,dcbench,ALL,compliance,brief_vs_dense,0.3571,0.3452,0.0119,42,1,
233,F3_vs_competitor,claude,dcbench,1,compliance,brief_vs_hybrid_rrf,0.5,0.4286,0.0714,14,1,
234,F3_vs_competitor,claude,dcbench,2,compliance,brief_vs_hybrid_rrf,0.2619,0.3095,-0.0476,14,0,
235,F3_vs_competitor,claude,dcbench,3,compliance,brief_vs_hybrid_rrf,0.3095,0.2738,0.0357,14,1,
236,F3_vs_competitor,claude,dcbench,ALL,compliance,brief_vs_hybrid_rrf,0.3571,0.3373,0.0198,42,1,
237,F3_vs_competitor,claude,dcbench,1,compliance,brief_vs_rerank_ce,0.5,0.5357,-0.0357,14,0,
238,F3_vs_competitor,claude,dcbench,2,compliance,brief_vs_rerank_ce,0.2619,0.2976,-0.0357,14,0,
239,F3_vs_competitor,claude,dcbench,3,compliance,brief_vs_rerank_ce,0.3095,0.3333,-0.0238,14,0,
240,F3_vs_competitor,claude,dcbench,ALL,compliance,brief_vs_rerank_ce,0.3571,0.3889,-0.0317,42,0,
241,F3_vs_competitor,claude,dcbench,1,compliance,brief_vs_raptor,0.5,0.4286,0.0714,14,1,
242,F3_vs_competitor,claude,dcbench,2,compliance,brief_vs_raptor,0.2619,0.2381,0.0238,14,1,
243,F3_vs_competitor,claude,dcbench,3,compliance,brief_vs_raptor,0.3095,0.2976,0.0119,14,1,
244,F3_vs_competitor,claude,dcbench,ALL,compliance,brief_vs_raptor,0.3571,0.3214,0.0357,42,1,
245,F3_vs_competitor,claude,dcbench,1,compliance,brief_vs_random_context,0.5,0.4643,0.0357,14,1,
246,F3_vs_competitor,claude,dcbench,2,compliance,brief_vs_random_context,0.2619,0.0357,0.2262,14,1,
247,F3_vs_competitor,claude,dcbench,3,compliance,brief_vs_random_context,0.3095,0.1667,0.1429,14,1,
248,F3_vs_competitor,claude,dcbench,ALL,compliance,brief_vs_random_context,0.3571,0.2222,0.1349,42,1,
249,F3_vs_competitor,claude,dcbench,1,compliance,brief_vs_none,0.5,0.4643,0.0357,14,1,
250,F3_vs_competitor,claude,dcbench,2,compliance,brief_vs_none,0.2619,0.0,0.2619,14,1,
